question_id,question_id_no0,grade,subject
235,235,6,natural science
236,236,3,language science
237,237,5,natural science
238,238,8,natural science
239,239,8,natural science
240,240,4,natural science
241,241,4,natural science
242,242,7,natural science
243,243,6,social science
244,244,7,natural science
245,245,3,language science
246,246,3,natural science
247,247,4,natural science
248,248,9,language science
249,249,2,natural science
250,250,4,natural science
251,251,2,natural science
252,252,7,natural science
253,253,2,language science
254,254,8,language science
255,255,5,language science
256,256,7,language science
257,257,4,natural science
258,258,4,natural science
259,259,5,social science
260,260,7,social science
261,261,2,natural science
262,262,4,natural science
263,263,6,language science
264,264,2,natural science
265,265,4,natural science
266,266,7,language science
267,267,7,natural science
268,268,4,natural science
269,269,4,natural science
270,270,6,natural science
271,271,5,social science
272,272,3,natural science
273,273,4,social science
274,274,3,language science
275,275,5,language science
276,276,7,social science
277,277,4,social science
278,278,8,social science
279,279,3,natural science
280,280,3,natural science
281,281,6,natural science
282,282,8,social science
283,283,6,social science
284,284,4,natural science
285,285,8,natural science
286,286,8,natural science
287,287,3,natural science
288,288,4,natural science
289,289,3,social science
290,290,5,natural science
291,291,4,language science
292,292,4,social science
293,293,6,natural science
294,294,2,natural science
295,295,6,natural science
296,296,8,natural science
297,297,4,natural science
298,298,2,language science
299,299,4,natural science
300,300,7,natural science
301,301,7,natural science
302,302,4,natural science
303,303,4,social science
304,304,6,natural science
305,305,5,social science
306,306,5,natural science
307,307,7,natural science
308,308,5,natural science
309,309,6,natural science
310,310,6,natural science
311,311,2,natural science
312,312,4,language science
313,313,3,language science
314,314,10,language science
315,315,6,language science
316,316,4,natural science
317,317,6,natural science
318,318,8,natural science
319,319,11,language science
320,320,3,social science
321,321,5,natural science
322,322,2,natural science
323,323,6,natural science
324,324,7,natural science
325,325,5,natural science
326,326,6,language science
327,327,4,language science
328,328,4,social science
329,329,2,natural science
330,330,5,social science
331,331,8,language science
332,332,3,natural science
333,333,9,language science
334,334,7,language science
335,335,3,natural science
336,336,3,social science
337,337,4,natural science
338,338,7,social science
339,339,5,natural science
340,340,4,social science
341,341,6,language science
342,342,4,natural science
343,343,5,natural science
344,344,2,natural science
345,345,5,language science
346,346,2,natural science
347,347,6,social science
348,348,7,natural science
349,349,6,natural science
350,350,3,natural science
351,351,5,natural science
352,352,2,natural science
353,353,11,language science
354,354,2,natural science
355,355,5,natural science
356,356,11,language science
357,357,4,natural science
358,358,8,social science
359,359,4,language science
360,360,2,social science
361,361,4,social science
362,362,5,social science
363,363,2,natural science
364,364,7,natural science
365,365,5,natural science
366,366,4,natural science
367,367,9,language science
368,368,9,language science
369,369,4,natural science
370,370,5,natural science
371,371,9,language science
372,372,5,social science
373,373,5,language science
374,374,3,natural science
375,375,3,social science
376,376,5,natural science
377,377,7,natural science
378,378,4,natural science
379,379,7,natural science
380,380,2,natural science
381,381,5,social science
382,382,6,natural science
383,383,4,language science
384,384,3,social science
385,385,7,social science
386,386,6,natural science
387,387,8,social science
388,388,8,natural science
389,389,12,language science
390,390,6,natural science
391,391,8,natural science
392,392,2,language science
393,393,10,language science
394,394,4,natural science
395,395,4,natural science
396,396,12,language science
397,397,7,language science
398,398,5,natural science
399,399,8,natural science
400,400,6,language science
401,401,10,language science
402,402,5,natural science
403,403,4,natural science
404,404,9,language science
405,405,8,social science
406,406,8,natural science
407,407,8,social science
408,408,3,language science
409,409,8,natural science
410,410,2,social science
411,411,6,natural science
412,412,3,natural science
413,413,6,social science
414,414,7,natural science
415,415,7,natural science
416,416,5,social science
417,417,5,natural science
418,418,8,natural science
419,419,6,natural science
420,420,8,natural science
421,421,7,natural science
422,422,6,natural science
423,423,4,natural science
424,424,9,language science
425,425,7,natural science
426,426,3,natural science
427,427,3,natural science
428,428,9,language science
429,429,5,natural science
430,430,4,natural science
431,431,8,language science
432,432,8,natural science
433,433,2,language science
434,434,5,natural science
435,435,3,social science
436,436,6,natural science
437,437,8,natural science
438,438,7,social science
439,439,5,social science
440,440,8,language science
441,441,8,social science
442,442,5,social science
443,443,9,language science
444,444,5,natural science
445,445,5,social science
446,446,4,language science
447,447,8,natural science
448,448,3,language science
449,449,2,social science
450,450,5,social science
451,451,5,language science
452,452,7,natural science
453,453,8,social science
454,454,2,social science
455,455,3,natural science
456,456,4,language science
457,457,10,language science
458,458,6,natural science
459,459,8,natural science
460,460,8,language science
461,461,6,language science
462,462,6,language science
463,463,5,natural science
464,464,9,language science
465,465,2,language science
466,466,9,language science
467,467,3,social science
468,468,8,social science
469,469,9,language science
470,470,6,natural science
471,471,11,language science
472,472,12,language science
473,473,8,natural science
474,474,4,natural science
475,475,6,natural science
476,476,3,social science
477,477,5,social science
478,478,8,natural science
479,479,7,language science
480,480,7,social science
481,481,2,natural science
482,482,4,natural science
483,483,10,language science
484,484,4,natural science
485,485,5,social science
486,486,9,language science
487,487,6,natural science
488,488,5,natural science
489,489,5,social science
490,490,2,natural science
491,491,9,language science
492,492,2,natural science
493,493,6,natural science
494,494,3,natural science
495,495,5,natural science
496,496,7,social science
497,497,5,natural science
498,498,2,natural science
499,499,6,natural science
500,500,7,natural science
501,501,8,natural science
502,502,3,natural science
503,503,7,natural science
504,504,8,natural science
505,505,8,natural science
506,506,8,social science
507,507,6,natural science
508,508,6,natural science
509,509,7,natural science
510,510,2,natural science
511,511,8,natural science
512,512,2,language science
513,513,5,language science
514,514,2,language science
515,515,3,natural science
516,516,9,language science
517,517,2,social science
518,518,10,language science
519,519,4,social science
520,520,7,natural science
521,521,7,language science
522,522,6,natural science
523,523,6,language science
524,524,6,social science
525,525,5,natural science
526,526,10,language science
527,527,8,natural science
528,528,9,language science
529,529,5,natural science
530,530,3,natural science
531,531,8,natural science
532,532,3,natural science
533,533,5,natural science
534,534,6,natural science
535,535,3,social science
536,536,5,natural science
537,537,5,natural science
538,538,4,language science
539,539,5,natural science
540,540,4,natural science
541,541,4,natural science
542,542,4,natural science
543,543,1,language science
544,544,8,natural science
545,545,2,language science
546,546,5,natural science
547,547,3,social science
548,548,6,natural science
549,549,6,natural science
550,550,7,natural science
551,551,6,natural science
552,552,9,language science
553,553,2,natural science
554,554,3,natural science
555,555,4,natural science
556,556,3,social science
557,557,6,natural science
558,558,4,natural science
559,559,9,language science
560,560,7,natural science
561,561,6,language science
562,562,4,natural science
563,563,5,social science
564,564,4,natural science
565,565,8,natural science
566,566,7,natural science
567,567,6,natural science
568,568,6,natural science
569,569,6,natural science
570,570,6,social science
571,571,4,natural science
572,572,5,social science
573,573,9,language science
574,574,3,language science
575,575,4,social science
576,576,3,natural science
577,577,4,social science
578,578,5,natural science
579,579,5,natural science
580,580,4,natural science
581,581,2,social science
582,582,5,natural science
583,583,6,natural science
584,584,3,social science
585,585,4,language science
586,586,2,natural science
587,587,9,language science
588,588,2,language science
589,589,7,language science
590,590,7,natural science
591,591,4,social science
592,592,4,natural science
593,593,5,natural science
594,594,7,language science
595,595,2,natural science
596,596,5,natural science
597,597,2,language science
598,598,4,social science
599,599,4,natural science
600,600,8,natural science
601,601,7,natural science
602,602,3,natural science
603,603,4,social science
604,604,3,social science
605,605,7,natural science
606,606,8,natural science
607,607,7,natural science
608,608,8,natural science
609,609,5,natural science
610,610,7,natural science
611,611,3,natural science
612,612,10,language science
613,613,7,language science
614,614,5,language science
615,615,7,language science
616,616,5,natural science
617,617,7,natural science
618,618,7,language science
619,619,8,natural science
620,620,9,language science
621,621,8,language science
622,622,7,natural science
623,623,4,social science
624,624,8,language science
625,625,7,language science
626,626,3,natural science
627,627,5,natural science
628,628,2,natural science
629,629,3,natural science
630,630,5,natural science
631,631,7,natural science
632,632,8,social science
633,633,5,natural science
634,634,5,natural science
635,635,5,social science
636,636,5,natural science
637,637,6,language science
638,638,11,language science
639,639,6,natural science
640,640,3,social science
641,641,8,natural science
642,642,2,natural science
643,643,6,natural science
644,644,7,natural science
645,645,5,social science
646,646,6,natural science
647,647,7,natural science
648,648,4,natural science
649,649,8,natural science
650,650,8,natural science
651,651,3,natural science
652,652,4,social science
653,653,7,natural science
654,654,5,natural science
655,655,8,natural science
656,656,2,natural science
657,657,3,language science
658,658,7,social science
659,659,3,natural science
660,660,8,natural science
661,661,6,natural science
662,662,3,natural science
663,663,4,language science
664,664,4,natural science
665,665,8,natural science
666,666,4,natural science
667,667,6,natural science
668,668,3,natural science
669,669,2,social science
670,670,3,social science
671,671,10,language science
672,672,7,natural science
673,673,3,social science
674,674,7,social science
675,675,5,natural science
676,676,2,natural science
677,677,7,natural science
678,678,5,social science
679,679,3,natural science
680,680,3,natural science
681,681,6,natural science
682,682,3,natural science
683,683,8,natural science
684,684,7,natural science
685,685,6,natural science
686,686,3,social science
687,687,4,social science
688,688,2,natural science
689,689,11,language science
690,690,3,social science
691,691,8,social science
692,692,8,natural science
693,693,4,natural science
694,694,7,natural science
695,695,4,social science
696,696,8,social science
697,697,2,natural science
698,698,4,social science
699,699,6,natural science
700,700,3,natural science
701,701,4,natural science
702,702,7,natural science
703,703,3,natural science
704,704,4,natural science
705,705,6,natural science
706,706,5,natural science
707,707,7,social science
708,708,6,natural science
709,709,3,natural science
710,710,6,natural science
711,711,6,natural science
712,712,2,language science
713,713,7,natural science
714,714,2,social science
715,715,5,natural science
716,716,6,natural science
717,717,6,social science
718,718,7,natural science
719,719,5,social science
720,720,7,natural science
721,721,5,natural science
722,722,2,natural science
723,723,8,natural science
724,724,8,natural science
725,725,3,natural science
726,726,7,social science
727,727,4,natural science
728,728,4,language science
729,729,4,natural science
730,730,4,natural science
731,731,11,language science
732,732,3,language science
733,733,3,natural science
734,734,7,natural science
735,735,5,social science
736,736,9,language science
737,737,6,natural science
738,738,4,natural science
739,739,3,natural science
740,740,9,language science
741,741,3,social science
742,742,8,natural science
743,743,4,natural science
744,744,8,natural science
745,745,2,social science
746,746,3,language science
747,747,5,natural science
748,748,7,social science
749,749,3,social science
750,750,10,language science
751,751,4,natural science
752,752,3,natural science
753,753,3,natural science
754,754,8,natural science
755,755,3,social science
756,756,6,natural science
757,757,11,language science
758,758,3,language science
759,759,7,natural science
760,760,4,social science
761,761,5,social science
762,762,8,social science
763,763,5,natural science
764,764,4,natural science
765,765,4,natural science
766,766,2,natural science
767,767,8,natural science
768,768,4,natural science
769,769,3,language science
770,770,7,natural science
771,771,7,language science
772,772,10,language science
773,773,6,natural science
774,774,5,social science
775,775,11,language science
776,776,2,natural science
777,777,5,natural science
778,778,8,social science
779,779,5,social science
780,780,5,social science
781,781,5,social science
782,782,4,natural science
783,783,4,social science
784,784,3,natural science
785,785,5,natural science
786,786,4,language science
787,787,3,social science
788,788,4,social science
789,789,8,language science
790,790,4,natural science
791,791,4,natural science
792,792,7,natural science
793,793,8,natural science
794,794,4,language science
795,795,8,natural science
796,796,6,natural science
797,797,3,natural science
798,798,5,natural science
799,799,8,natural science
800,800,5,natural science
801,801,8,natural science
802,802,5,social science
803,803,6,language science
804,804,5,natural science
805,805,3,social science
806,806,5,social science
807,807,5,social science
808,808,11,language science
809,809,3,natural science
810,810,6,natural science
811,811,5,natural science
812,812,4,social science
813,813,2,natural science
814,814,8,natural science
815,815,5,natural science
816,816,8,language science
817,817,4,social science
818,818,7,natural science
819,819,9,language science
820,820,8,natural science
821,821,4,language science
822,822,10,language science
823,823,8,language science
824,824,12,language science
825,825,8,natural science
826,826,4,language science
827,827,4,natural science
828,828,5,natural science
829,829,2,natural science
830,830,5,social science
831,831,6,social science
832,832,4,social science
833,833,4,natural science
834,834,4,natural science
835,835,3,language science
836,836,12,language science
837,837,4,natural science
838,838,4,natural science
839,839,5,natural science
840,840,2,language science
841,841,7,natural science
842,842,9,language science
843,843,2,natural science
844,844,7,social science
845,845,10,language science
846,846,2,language science
847,847,5,natural science
848,848,5,natural science
849,849,7,social science
850,850,6,language science
851,851,4,social science
852,852,5,social science
853,853,3,natural science
854,854,5,social science
855,855,4,language science
856,856,10,language science
857,857,5,social science
858,858,12,language science
859,859,4,natural science
860,860,6,natural science
861,861,3,language science
862,862,7,language science
863,863,8,natural science
864,864,6,natural science
865,865,3,natural science
866,866,4,language science
867,867,5,natural science
868,868,2,social science
869,869,8,language science
870,870,8,natural science
871,871,5,natural science
872,872,8,social science
873,873,3,language science
874,874,6,natural science
875,875,3,language science
876,876,8,natural science
877,877,2,natural science
878,878,5,natural science
879,879,6,natural science
880,880,4,social science
881,881,3,social science
882,882,5,language science
883,883,7,natural science
884,884,7,social science
885,885,6,natural science
886,886,3,social science
887,887,6,natural science
888,888,4,natural science
889,889,6,social science
890,890,3,natural science
891,891,6,natural science
892,892,8,language science
893,893,3,natural science
894,894,4,language science
895,895,3,natural science
896,896,6,natural science
897,897,8,social science
898,898,8,natural science
899,899,7,natural science
900,900,2,natural science
901,901,4,social science
902,902,8,natural science
903,903,5,natural science
904,904,6,natural science
905,905,4,social science
906,906,3,social science
907,907,8,social science
908,908,5,language science
909,909,4,language science
910,910,3,natural science
911,911,8,language science
912,912,3,language science
913,913,9,language science
914,914,4,language science
915,915,4,language science
916,916,3,social science
917,917,7,natural science
918,918,6,social science
919,919,4,natural science
920,920,7,natural science
921,921,3,natural science
922,922,10,language science
923,923,12,language science
924,924,4,social science
925,925,3,natural science
926,926,2,natural science
927,927,2,natural science
928,928,12,language science
929,929,7,natural science
930,930,3,natural science
931,931,7,social science
932,932,5,natural science
933,933,8,natural science
934,934,7,natural science
935,935,7,language science
936,936,9,language science
937,937,4,natural science
938,938,5,natural science
939,939,2,natural science
940,940,7,natural science
941,941,7,social science
942,942,5,social science
943,943,7,natural science
944,944,3,natural science
945,945,4,natural science
946,946,10,language science
947,947,5,natural science
948,948,3,social science
949,949,6,natural science
950,950,9,language science
951,951,7,language science
952,952,8,natural science
953,953,3,language science
954,954,5,natural science
955,955,6,natural science
956,956,3,social science
957,957,6,natural science
958,958,7,social science
959,959,4,natural science
960,960,4,social science
961,961,8,natural science
962,962,12,language science
963,963,6,natural science
964,964,7,natural science
965,965,3,social science
966,966,12,language science
967,967,7,natural science
968,968,4,natural science
969,969,4,natural science
970,970,2,natural science
971,971,10,language science
972,972,3,natural science
973,973,11,language science
974,974,8,natural science
975,975,8,natural science
976,976,4,natural science
977,977,8,natural science
978,978,5,natural science
979,979,6,natural science
980,980,4,natural science
981,981,8,natural science
982,982,6,natural science
983,983,6,natural science
984,984,7,natural science
985,985,3,natural science
986,986,11,language science
987,987,11,language science
988,988,5,natural science
989,989,4,natural science
990,990,7,social science
991,991,8,natural science
992,992,8,natural science
993,993,4,natural science
994,994,5,social science
995,995,5,social science
996,996,7,social science
997,997,10,language science
998,998,6,social science
999,999,8,natural science
1000,1000,6,language science
1001,1001,2,natural science
1002,1002,6,social science
1003,1003,2,language science
1004,1004,4,language science
1005,1005,7,language science
1006,1006,4,natural science
1007,1007,2,natural science
1008,1008,4,language science
1009,1009,7,natural science
1010,1010,8,natural science
1011,1011,4,natural science
1012,1012,4,natural science
1013,1013,7,natural science
1014,1014,7,natural science
1015,1015,3,natural science
1016,1016,6,language science
1017,1017,7,natural science
1018,1018,4,social science
1019,1019,4,natural science
1020,1020,5,language science
1021,1021,2,natural science
1022,1022,7,social science
1023,1023,3,natural science
1024,1024,7,natural science
1025,1025,7,natural science
1026,1026,6,natural science
1027,1027,5,social science
1028,1028,3,natural science
1029,1029,5,social science
1030,1030,6,natural science
1031,1031,4,natural science
1032,1032,3,social science
1033,1033,8,natural science
1034,1034,8,natural science
1035,1035,8,social science
1036,1036,6,natural science
1037,1037,6,language science
1038,1038,8,social science
1039,1039,6,natural science
1040,1040,5,natural science
1041,1041,3,social science
1042,1042,2,social science
1043,1043,3,natural science
1044,1044,9,language science
1045,1045,4,natural science
1046,1046,7,natural science
1047,1047,2,natural science
1048,1048,4,social science
1049,1049,5,social science
1050,1050,4,natural science
1051,1051,7,natural science
1052,1052,4,social science
1053,1053,7,language science
1054,1054,7,language science
1055,1055,8,social science
1056,1056,7,natural science
1057,1057,3,natural science
1058,1058,6,social science
1059,1059,4,natural science
1060,1060,5,natural science
1061,1061,5,social science
1062,1062,12,language science
1063,1063,4,language science
1064,1064,3,natural science
1065,1065,9,language science
1066,1066,3,natural science
1067,1067,4,natural science
1068,1068,5,social science
1069,1069,7,natural science
1070,1070,7,natural science
1071,1071,5,natural science
1072,1072,5,natural science
1073,1073,4,language science
1074,1074,5,natural science
1075,1075,8,social science
1076,1076,7,language science
1077,1077,3,social science
1078,1078,6,natural science
1079,1079,7,natural science
1080,1080,10,language science
1081,1081,4,natural science
1082,1082,3,language science
1083,1083,2,language science
1084,1084,8,social science
1085,1085,3,natural science
1086,1086,2,language science
1087,1087,7,natural science
1088,1088,10,language science
1089,1089,10,language science
1090,1090,11,language science
1091,1091,8,social science
1092,1092,6,social science
1093,1093,3,natural science
1094,1094,5,natural science
1095,1095,4,natural science
1096,1096,2,language science
1097,1097,6,social science
1098,1098,4,social science
1099,1099,12,language science
1100,1100,2,social science
1101,1101,2,natural science
1102,1102,2,natural science
1103,1103,2,language science
1104,1104,3,natural science
1105,1105,6,language science
1106,1106,6,natural science
1107,1107,7,social science
1108,1108,3,social science
1109,1109,4,social science
1110,1110,5,language science
1111,1111,8,natural science
1112,1112,8,natural science
1113,1113,6,natural science
1114,1114,2,natural science
1115,1115,4,natural science
1116,1116,7,natural science
1117,1117,5,social science
1118,1118,6,social science
1119,1119,3,natural science
1120,1120,2,natural science
1121,1121,5,natural science
1122,1122,7,natural science
1123,1123,7,natural science
1124,1124,3,natural science
1125,1125,4,social science
1126,1126,4,natural science
1127,1127,7,natural science
1128,1128,3,natural science
1129,1129,12,language science
1130,1130,6,natural science
1131,1131,6,language science
1132,1132,12,language science
1133,1133,5,social science
1134,1134,4,natural science
1135,1135,7,natural science
1136,1136,7,natural science
1137,1137,6,natural science
1138,1138,3,natural science
1139,1139,6,natural science
1140,1140,3,social science
1141,1141,8,language science
1142,1142,7,language science
1143,1143,2,natural science
1144,1144,3,natural science
1145,1145,4,natural science
1146,1146,7,natural science
1147,1147,2,language science
1148,1148,7,social science
1149,1149,4,natural science
1150,1150,2,natural science
1151,1151,9,language science
1152,1152,7,natural science
1153,1153,5,natural science
1154,1154,6,natural science
1155,1155,2,language science
1156,1156,4,social science
1157,1157,2,natural science
1158,1158,7,natural science
1159,1159,4,social science
1160,1160,8,natural science
1161,1161,12,language science
1162,1162,7,natural science
1163,1163,7,language science
1164,1164,2,language science
1165,1165,4,social science
1166,1166,9,language science
1167,1167,3,social science
1168,1168,7,natural science
1169,1169,8,language science
1170,1170,10,language science
1171,1171,6,social science
1172,1172,3,language science
1173,1173,5,natural science
1174,1174,2,language science
1175,1175,12,language science
1176,1176,4,natural science
1177,1177,5,natural science
1178,1178,4,social science
1179,1179,11,language science
1180,1180,6,social science
1181,1181,12,language science
1182,1182,5,natural science
1183,1183,2,natural science
1184,1184,4,natural science
1185,1185,4,natural science
1186,1186,11,language science
1187,1187,4,language science
1188,1188,1,language science
1189,1189,2,natural science
1190,1190,10,language science
1191,1191,6,social science
1192,1192,4,natural science
1193,1193,4,natural science
1194,1194,3,language science
1195,1195,2,language science
1196,1196,6,natural science
1197,1197,5,social science
1198,1198,4,natural science
1199,1199,5,social science
1200,1200,6,natural science
1201,1201,4,natural science
1202,1202,5,social science
1203,1203,4,natural science
1204,1204,7,natural science
1205,1205,7,natural science
1206,1206,9,language science
1207,1207,2,language science
1208,1208,2,natural science
1209,1209,6,language science
1210,1210,4,language science
1211,1211,8,natural science
1212,1212,7,language science
1213,1213,4,social science
1214,1214,6,natural science
1215,1215,3,natural science
1216,1216,3,social science
1217,1217,2,social science
1218,1218,3,language science
1219,1219,6,social science
1220,1220,4,language science
1221,1221,5,natural science
1222,1222,4,natural science
1223,1223,5,social science
1224,1224,3,natural science
1225,1225,8,natural science
1226,1226,8,social science
1227,1227,8,natural science
1228,1228,3,natural science
1229,1229,2,natural science
1230,1230,3,natural science
1231,1231,7,social science
1232,1232,6,natural science
1233,1233,10,language science
1234,1234,5,language science
1235,1235,6,language science
1236,1236,6,natural science
1237,1237,8,language science
1238,1238,8,natural science
1239,1239,5,natural science
1240,1240,2,language science
1241,1241,3,social science
1242,1242,3,natural science
1243,1243,3,social science
1244,1244,4,natural science
1245,1245,8,language science
1246,1246,10,language science
1247,1247,3,natural science
1248,1248,7,language science
1249,1249,6,natural science
1250,1250,4,language science
1251,1251,3,social science
1252,1252,4,language science
1253,1253,6,natural science
1254,1254,3,natural science
1255,1255,3,language science
1256,1256,6,natural science
1257,1257,9,language science
1258,1258,6,natural science
1259,1259,6,social science
1260,1260,8,social science
1261,1261,4,language science
1262,1262,3,natural science
1263,1263,5,social science
1264,1264,4,natural science
1265,1265,2,natural science
1266,1266,6,natural science
1267,1267,7,natural science
1268,1268,5,natural science
1269,1269,3,natural science
1270,1270,12,language science
1271,1271,6,language science
1272,1272,6,natural science
1273,1273,5,natural science
1274,1274,4,social science
1275,1275,4,social science
1276,1276,11,language science
1277,1277,7,natural science
1278,1278,4,social science
1279,1279,6,natural science
1280,1280,5,natural science
1281,1281,4,social science
1282,1282,7,natural science
1283,1283,3,natural science
1284,1284,2,social science
1285,1285,6,natural science
1286,1286,7,natural science
1287,1287,5,social science
1288,1288,6,natural science
1289,1289,3,social science
1290,1290,3,natural science
1291,1291,7,natural science
1292,1292,7,natural science
1293,1293,8,natural science
1294,1294,2,natural science
1295,1295,12,language science
1296,1296,2,language science
1297,1297,12,language science
1298,1298,2,natural science
1299,1299,3,natural science
1300,1300,8,language science
1301,1301,6,social science
1302,1302,5,social science
1303,1303,3,natural science
1304,1304,4,natural science
1305,1305,8,natural science
1306,1306,5,natural science
1307,1307,5,natural science
1308,1308,7,natural science
1309,1309,4,social science
1310,1310,5,language science
1311,1311,4,social science
1312,1312,6,language science
1313,1313,8,natural science
1314,1314,12,language science
1315,1315,3,natural science
1316,1316,3,natural science
1317,1317,4,natural science
1318,1318,8,natural science
1319,1319,8,natural science
1320,1320,5,natural science
1321,1321,3,language science
1322,1322,12,language science
1323,1323,4,natural science
1324,1324,7,natural science
1325,1325,6,social science
1326,1326,2,natural science
1327,1327,4,social science
1328,1328,3,natural science
1329,1329,7,social science
1330,1330,3,natural science
1331,1331,3,language science
1332,1332,3,social science
1333,1333,8,natural science
1334,1334,4,social science
1335,1335,2,natural science
1336,1336,7,natural science
1337,1337,2,natural science
1338,1338,7,language science
1339,1339,11,language science
1340,1340,4,language science
1341,1341,8,natural science
1342,1342,1,language science
1343,1343,6,natural science
1344,1344,5,natural science
1345,1345,5,natural science
1346,1346,6,language science
1347,1347,6,social science
1348,1348,7,language science
1349,1349,6,natural science
1350,1350,4,natural science
1351,1351,6,natural science
1352,1352,4,social science
1353,1353,4,natural science
1354,1354,4,natural science
1355,1355,10,language science
1356,1356,7,natural science
1357,1357,9,language science
1358,1358,4,social science
1359,1359,5,social science
1360,1360,10,language science
1361,1361,3,natural science
1362,1362,6,language science
1363,1363,7,natural science
1364,1364,12,language science
1365,1365,3,natural science
1366,1366,6,natural science
1367,1367,7,natural science
1368,1368,8,natural science
1369,1369,8,natural science
1370,1370,6,language science
1371,1371,4,social science
1372,1372,7,natural science
1373,1373,5,social science
1374,1374,4,social science
1375,1375,5,natural science
1376,1376,7,natural science
1377,1377,11,language science
1378,1378,5,language science
1379,1379,2,natural science
1380,1380,8,social science
